Week,Date,Picker,Symbol,Price,Price at Pick ,Mon,Tue ,Wed ,Thur,Fri,Return 1 Week ,Return 1 Week %,Current Price,Total Return
,12/23/2024,Taylor,BA,$200.32,$178.12,$177.69,$179.34,-,-,$180.72,$2.60,1.5%,$200.32,12.5%
,12/23/2024,Logan,NET,$171.97,$112.16,$111.58,$112.58,-,-,$110.61,-$1.55,-1.4%,$171.97,53.3%
,,,,,,,,,,,,,,
Winner,Taylor,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
7,,,,,,,,1/1/25,1/2/25,1/3/25,,,,
,12/30/2024,Patrick,SPXL,$156.56,$170.43,$170.74,$168.70,$168.70,$167.31,$173.37,$2.94,1.7%,$156.56,-8.1%
,12/30/2024,Taylor,LAW,$4.04,$4.97,$4.98,$4.99,,$4.85,$4.95,-$0.02,-0.4%,$4.04,-18.7%
,12/30/2024,Logan,DD,$66.87,$76.03,$75.95,$76.25,,$75.43,$74.75,-$1.28,-1.7%,$66.87,-12.0%
,,,,,,,,,,,,,,
Winner,Patrick,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
,1/6/2025,Patrick,NVDA,$141.97,$148.59,$149.43,$140.14,$140.11,-,$135.91,-$12.68,-8.5%,$141.97,-4.5%
,1/6/2025,Taylor,TM,$178.75,$193.00,$190.39,$193.12,$192.55,$192.55,$183.47,-$9.53,-4.9%,$178.75,-7.4%
,1/6/2025,Logan,INTC,$20.14,$20.83,$19.87,$20.01,$19.88,$19.88,$19.15,-$1.68,-8.1%,$20.14,-3.3%
,,,,,,,,,,,,,,
Winner,Taylor,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
,1/13/2025,Patrick,META,$682.87,$607.10,$608.33,$594.25,$617.12,$611.30,$612.77,$5.67,0.9%,$682.87,12.5%
,1/13/2025,Taylor,DHI,$123.08,$136.84,$138.40,$143.16,$145.41,$145.41,$147.65,$10.81,7.9%,$123.08,-10.1%
,1/13/2025,Logan,DRI,$217.50,$179.70,$182.77,$182.04,$180.83,$180.83,$181.75,$2.05,1.1%,$217.50,21.0%
,,,,,,,,,,,,,,
Winner,Taylor,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
,1/21/2025,Patrick,DJT,$19.52,$37.59,-,$33.55,$32.71,$32.71,$32.71,-$4.88,-13.0%,$19.52,-48.1%
,1/21/2025,Taylor,IGT,$14.60,$17.48,-,$17.11,$17.15,$17.11,$17.15,-$0.33,-1.9%,$14.60,-16.5%
,1/21/2025,Logan,RTX,$145.69,$122.73,-,$126.29,$125.31,$126.29,$125.31,$2.58,2.1%,$145.69,18.7%
,,,,,,,,,,,,,,
Winner,Logan,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
,1/28/2025,Patrick,AAPL,$196.45,$230.85,$238.26,$238.26,$237.59,$237.59,236,5.15,2.2%,$196.45,-14.9%
,1/28/2025,Taylor,NVDA,$141.97,$121.81,$128.99,$128.99,$124.65,$124.65,120.07,-1.74,-1.4%,$141.97,16.6%
,1/28/2025,Logan,META,$682.87,$666.00,$674.33,$674.33,$687.00,$687.00,689.18,23.18,3.5%,$682.87,2.5%
,,,,,,,,,,,,,,
Winner,Logan,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
,2/3/2025,Patrick,VIX,16.54,19.63,-,-,-,16.54,16.54,-3.09,-15.7%,16.5,-15.7%
,2/3/2025,Taylor,BTC,$46.61,$42.00,$44.86,$43.77,$43.14,$42.96,$42.42,$0.42,1.0%,$46.61,11.0%
,2/3/2025,Logan,PEP,$130.85,$149.76,$150.27,$143.49,$145.66,$145.35,$144.58,-$5.18,-3.5%,$130.85,-12.6%
,,,,,,,,,,,,,,
Winner,Taylor,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
,2/10/2025,Patrick,,,-,-,-,-,-,-,-,-,-,-
,2/10/2025,Taylor,,,-,-,-,-,-,-,-,-,-,-
,2/10/2025,Logan,,,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,
Winner,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
,2/17/2025,Patrick,WING,$354.06,-,-,$306.02,$265.02,$247.09,$234.02,-,-,$354.06,-
,2/17/2025,Taylor,UAL,$74.00,-,-,$103.25,$106.51,$106.51,$95.89,-,-,$74.00,-
,2/17/2025,Logan,WMT,$94.44,-,-,$103.78,$104.00,$104.00,$94.78,-,-,$94.44,-
,,,,,,,,,,,,,,
Winner,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
,2/24/2025,Patrick,LMT,$486.45,$442.00,$440.27,$448.46,$441.50,$446.46,$450.37,$8.37,1.9%,$486.45,10.1%
,2/24/2025,Taylor,MSFT,$474.96,$408.51,$404.00,$397.90,$399.73,$399.73,$396.99,-$11.52,-2.8%,$474.96,16.3%
,2/24/2025,Logan,WMT,$94.44,$94.18,$93.67,$97.69,$96.20,$96.20,$98.61,$4.43,4.7%,$94.44,0.3%
,,,,,,,,,,,,,,
Winner,Logan,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
,3/3/2025,Patrick,EVO,$4.27,$4.34,$4.21,$3.92,$3.89,$3.67,$3.64,-$0.70,-16.1%,$4.27,-1.6%
,3/3/2025,Taylor,COST,$990.21,$1051.74,$1046.85,$1036.87,$1047.75,$1047.75,$964.31,-$87.43,-8.3%,$990.21,-5.9%
,3/3/2025,Logan,PLUG,$1.29,$1.61,$1.50,$1.62,$1.69,$1.69,$1.78,$0.17,10.6%,$1.29,-19.9%
,,,,,,,,,,,,,,
Winner,Logan,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
,3/10/2025,Patrick,,,-,-,-,-,-,-,-,-,-,-
,3/10/2025,Taylor,,,-,-,-,-,-,-,-,-,-,-
,3/10/2025,Logan,,,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,
Winner,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
,3/17/2025,Patrick,LUD,$4.15,$4.40,$4.85,$4.64,$4.72,$4.94,$4.78,$0.38,8.6%,$4.15,-5.7%
,3/17/2025,Taylor,AAPL,$196.45,$213.31,$214.00,$212.69,$215.24,$215.24,$218.27,$4.96,2.3%,$196.45,-7.9%
,3/17/2025,Logan,TSLA,$325.31,$245.06,$238.01,$225.31,$235.86,$235.86,$248.71,$3.65,1.5%,$325.31,32.7%
,,,,,,,,,,,,,,
Winner,Patrick,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
